RHEA_ID	DIRECTION	MASTER_ID	ID
29464	LR	29463	R-HSA-1013020.1
29464	LR	29463	R-HSA-1296024.2
29464	LR	29463	R-HSA-1296035.1
29464	LR	29463	R-HSA-1296037.1
29464	LR	29463	R-HSA-1296039.1
29464	LR	29463	R-HSA-1296043.1
29464	LR	29463	R-HSA-1296045.1
29464	LR	29463	R-HSA-1296046.1
29464	LR	29463	R-HSA-1296127.1
29464	LR	29463	R-HSA-1296348.1
29464	LR	29463	R-HSA-1299297.1
29464	LR	29463	R-HSA-1299304.1
29464	LR	29463	R-HSA-1299318.1
29464	LR	29463	R-HSA-1299338.1
29464	LR	29463	R-HSA-1299359.1
29464	LR	29463	R-HSA-1369017.2
29464	LR	29463	R-HSA-2534365.1
29464	LR	29463	R-HSA-5577050.1
29464	LR	29463	R-HSA-5577234.1
29464	LR	29463	R-HSA-5577237.1
29464	LR	29463	R-HSA-5578910.1
29464	LR	29463	R-HSA-5683209.1
29464	LR	29463	R-HSA-877187.1
29465	RL	29463	R-HSA-5678261.2
29577	RL	29575	R-HSA-352059.1
29577	RL	29575	R-HSA-352108.1
29577	RL	29575	R-HSA-352119.1
29577	RL	29575	R-HSA-375473.1
29668	LR	29667	R-HSA-432054.1
29668	LR	29667	R-HSA-432067.1
29668	LR	29667	R-HSA-445714.1
29668	LR	29667	R-HSA-507870.3
29669	RL	29667	R-HSA-432010.1
29669	RL	29667	R-HSA-432065.1
29669	RL	29667	R-HSA-507868.3
29672	LR	29671	R-HSA-169683.2
29672	LR	29671	R-HSA-2685505.2
29672	LR	29671	R-HSA-418309.1
29672	LR	29671	R-HSA-4420052.2
29672	LR	29671	R-HSA-8949145.1
29672	LR	29671	R-HSA-8949178.1
29673	RL	29671	R-HSA-139855.2
29673	RL	29671	R-HSA-2089943.1
29673	RL	29671	R-HSA-210420.3
29673	RL	29671	R-HSA-2534359.1
29673	RL	29671	R-HSA-265645.1
29673	RL	29671	R-HSA-3295579.2
29673	RL	29671	R-HSA-426223.1
29673	RL	29671	R-HSA-432164.2
29673	RL	29671	R-HSA-434798.1
29673	RL	29671	R-HSA-5263618.1
29673	RL	29671	R-HSA-5577213.2
29673	RL	29671	R-HSA-8863009.2
29676	LR	29675	R-HSA-432074.2
29676	LR	29675	R-HSA-507871.2
29677	RL	29675	R-HSA-432049.2
29677	RL	29675	R-HSA-507869.2
29681	RL	29679	R-HSA-6803255.1
29705	RL	29703	R-HSA-352103.1
29705	RL	29703	R-HSA-352107.1
29705	RL	29703	R-HSA-352191.1
29705	RL	29703	R-HSA-352232.3
29725	RL	29723	R-HSA-6784434.1
29725	RL	29723	R-HSA-6784436.2
29824	LR	29823	R-HSA-2684901.2
29824	LR	29823	R-HSA-2744228.1
29824	LR	29823	R-HSA-2744242.2
29824	LR	29823	R-HSA-2744349.1
29824	LR	29823	R-HSA-2744361.2
29824	LR	29823	R-HSA-432036.3
29824	LR	29823	R-HSA-8941543.1
29825	RL	29823	R-HSA-427570.1
29825	RL	29823	R-HSA-432034.2
29825	RL	29823	R-HSA-975340.2
29825	RL	29823	R-HSA-975389.1
29825	RL	29823	R-HSA-975449.1
